column_name,STANDARD,ADMIN
name,READ,READ
submitted_name,READ,WRITE
homepage_url,READ,WRITE
jurisdiction_type,READ,WRITE
state_iso,READ,WRITE
county_fips,READ,WRITE
county_name,READ,READ
lat,READ,WRITE
lng,READ,WRITE
defunct_year,READ,WRITE
airtable_uid,READ,WRITE
agency_type,READ,WRITE
multi_agency,READ,WRITE
zip_code,READ,WRITE
no_web_presence,READ,WRITE
airtable_agency_last_modified,READ,READ
approved,READ,WRITE
rejection_reason,READ,WRITE
last_approval_editor,READ,WRITE
submitter_contact,READ,WRITE
agency_created,READ,READ
locality_name,READ,WRITE
state_name,READ,READ
